district;group;category;query
Академический;Общепит;Ресторан;рестораны Академический район Москва
Академический;Общепит;Кафе;кафе Академический район Москва
Академический;Общепит;Кофейня;кофейни Академический район Москва
Академический;Общепит;Столовая;столовые Академический район Москва
Академический;Общепит;Фастфуд;фастфуд Академический район Москва
Академический;Общепит;Пекарня / кондитерская;пекарни кондитерские Академический район Москва
Академический;Общепит;Бар;бары Академический район Москва
Академический;Продуктовая розница;Супермаркет;супермаркеты Академический район Москва
Академический;Продуктовая розница;Продуктовый магазин;продуктовые магазины Академический район Москва
Академический;Продуктовая розница;Минимаркет;минимаркеты Академический район Москва
Академический;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины Академический район Москва
