district;group;category;query
Гагаринский;Общепит;Ресторан;рестораны Гагаринский район Москва
Гагаринский;Общепит;Кафе;кафе Гагаринский район Москва
Гагаринский;Общепит;Кофейня;кофейни Гагаринский район Москва
Гагаринский;Общепит;Столовая;столовые Гагаринский район Москва
Гагаринский;Общепит;Фастфуд;фастфуд Гагаринский район Москва
Гагаринский;Общепит;Пекарня / кондитерская;пекарни кондитерские Гагаринский район Москва
Гагаринский;Общепит;Бар;бары Гагаринский район Москва
Гагаринский;Продуктовая розница;Супермаркет;супермаркеты Гагаринский район Москва
Гагаринский;Продуктовая розница;Продуктовый магазин;продуктовые магазины Гагаринский район Москва
Гагаринский;Продуктовая розница;Минимаркет;минимаркеты Гагаринский район Москва
Гагаринский;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины Гагаринский район Москва
