district;group;category;query
Коньково;Общепит;Ресторан;рестораны район Коньково Москва
Коньково;Общепит;Кафе;кафе район Коньково Москва
Коньково;Общепит;Кофейня;кофейни район Коньково Москва
Коньково;Общепит;Столовая;столовые район Коньково Москва
Коньково;Общепит;Фастфуд;фастфуд район Коньково Москва
Коньково;Общепит;Пекарня / кондитерская;пекарни кондитерские район Коньково Москва
Коньково;Общепит;Бар;бары район Коньково Москва
Коньково;Продуктовая розница;Супермаркет;супермаркеты район Коньково Москва
Коньково;Продуктовая розница;Продуктовый магазин;продуктовые магазины район Коньково Москва
Коньково;Продуктовая розница;Минимаркет;минимаркеты район Коньково Москва
Коньково;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины район Коньково Москва
