district;group;category;query
Котловка;Общепит;Ресторан;рестораны район Котловка Москва
Котловка;Общепит;Кафе;кафе район Котловка Москва
Котловка;Общепит;Кофейня;кофейни район Котловка Москва
Котловка;Общепит;Столовая;столовые район Котловка Москва
Котловка;Общепит;Фастфуд;фастфуд район Котловка Москва
Котловка;Общепит;Пекарня / кондитерская;пекарни кондитерские район Котловка Москва
Котловка;Общепит;Бар;бары район Котловка Москва
Котловка;Продуктовая розница;Супермаркет;супермаркеты район Котловка Москва
Котловка;Продуктовая розница;Продуктовый магазин;продуктовые магазины район Котловка Москва
Котловка;Продуктовая розница;Минимаркет;минимаркеты район Котловка Москва
Котловка;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины район Котловка Москва
