district;group;category;query
Ломоносовский;Общепит;Ресторан;рестораны Ломоносовский район Москва
Ломоносовский;Общепит;Кафе;кафе Ломоносовский район Москва
Ломоносовский;Общепит;Кофейня;кофейни Ломоносовский район Москва
Ломоносовский;Общепит;Столовая;столовые Ломоносовский район Москва
Ломоносовский;Общепит;Фастфуд;фастфуд Ломоносовский район Москва
Ломоносовский;Общепит;Пекарня / кондитерская;пекарни кондитерские Ломоносовский район Москва
Ломоносовский;Общепит;Бар;бары Ломоносовский район Москва
Ломоносовский;Продуктовая розница;Супермаркет;супермаркеты Ломоносовский район Москва
Ломоносовский;Продуктовая розница;Продуктовый магазин;продуктовые магазины Ломоносовский район Москва
Ломоносовский;Продуктовая розница;Минимаркет;минимаркеты Ломоносовский район Москва
Ломоносовский;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины Ломоносовский район Москва
