district;group;category;query
Обручевский;Общепит;Ресторан;рестораны Обручевский район Москва
Обручевский;Общепит;Кафе;кафе Обручевский район Москва
Обручевский;Общепит;Кофейня;кофейни Обручевский район Москва
Обручевский;Общепит;Столовая;столовые Обручевский район Москва
Обручевский;Общепит;Фастфуд;фастфуд Обручевский район Москва
Обручевский;Общепит;Пекарня / кондитерская;пекарни кондитерские Обручевский район Москва
Обручевский;Общепит;Бар;бары Обручевский район Москва
Обручевский;Продуктовая розница;Супермаркет;супермаркеты Обручевский район Москва
Обручевский;Продуктовая розница;Продуктовый магазин;продуктовые магазины Обручевский район Москва
Обручевский;Продуктовая розница;Минимаркет;минимаркеты Обручевский район Москва
Обручевский;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины Обручевский район Москва
