district;group;category;query
Северное Бутово;Общепит;Ресторан;рестораны Северное Бутово Москва
Северное Бутово;Общепит;Кафе;кафе Северное Бутово Москва
Северное Бутово;Общепит;Кофейня;кофейни Северное Бутово Москва
Северное Бутово;Общепит;Столовая;столовые Северное Бутово Москва
Северное Бутово;Общепит;Фастфуд;фастфуд Северное Бутово Москва
Северное Бутово;Общепит;Пекарня / кондитерская;пекарни кондитерские Северное Бутово Москва
Северное Бутово;Общепит;Бар;бары Северное Бутово Москва
Северное Бутово;Продуктовая розница;Супермаркет;супермаркеты Северное Бутово Москва
Северное Бутово;Продуктовая розница;Продуктовый магазин;продуктовые магазины Северное Бутово Москва
Северное Бутово;Продуктовая розница;Минимаркет;минимаркеты Северное Бутово Москва
Северное Бутово;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины Северное Бутово Москва
