district;group;category;query
Тёплый Стан;Общепит;Ресторан;рестораны Тёплый Стан Москва
Тёплый Стан;Общепит;Кафе;кафе Тёплый Стан Москва
Тёплый Стан;Общепит;Кофейня;кофейни Тёплый Стан Москва
Тёплый Стан;Общепит;Столовая;столовые Тёплый Стан Москва
Тёплый Стан;Общепит;Фастфуд;фастфуд Тёплый Стан Москва
Тёплый Стан;Общепит;Пекарня / кондитерская;пекарни кондитерские Тёплый Стан Москва
Тёплый Стан;Общепит;Бар;бары Тёплый Стан Москва
Тёплый Стан;Продуктовая розница;Супермаркет;супермаркеты Тёплый Стан Москва
Тёплый Стан;Продуктовая розница;Продуктовый магазин;продуктовые магазины Тёплый Стан Москва
Тёплый Стан;Продуктовая розница;Минимаркет;минимаркеты Тёплый Стан Москва
Тёплый Стан;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины Тёплый Стан Москва
