district;group;category;query
Черёмушки;Общепит;Ресторан;рестораны Черёмушки Москва
Черёмушки;Общепит;Кафе;кафе Черёмушки Москва
Черёмушки;Общепит;Кофейня;кофейни Черёмушки Москва
Черёмушки;Общепит;Столовая;столовые Черёмушки Москва
Черёмушки;Общепит;Фастфуд;фастфуд Черёмушки Москва
Черёмушки;Общепит;Пекарня / кондитерская;пекарни кондитерские Черёмушки Москва
Черёмушки;Общепит;Бар;бары Черёмушки Москва
Черёмушки;Продуктовая розница;Супермаркет;супермаркеты Черёмушки Москва
Черёмушки;Продуктовая розница;Продуктовый магазин;продуктовые магазины Черёмушки Москва
Черёмушки;Продуктовая розница;Минимаркет;минимаркеты Черёмушки Москва
Черёмушки;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины Черёмушки Москва
