district;group;category;query
Ясенево;Общепит;Ресторан;рестораны Ясенево Москва
Ясенево;Общепит;Кафе;кафе Ясенево Москва
Ясенево;Общепит;Кофейня;кофейни Ясенево Москва
Ясенево;Общепит;Столовая;столовые Ясенево Москва
Ясенево;Общепит;Фастфуд;фастфуд Ясенево Москва
Ясенево;Общепит;Пекарня / кондитерская;пекарни кондитерские Ясенево Москва
Ясенево;Общепит;Бар;бары Ясенево Москва
Ясенево;Продуктовая розница;Супермаркет;супермаркеты Ясенево Москва
Ясенево;Продуктовая розница;Продуктовый магазин;продуктовые магазины Ясенево Москва
Ясенево;Продуктовая розница;Минимаркет;минимаркеты Ясенево Москва
Ясенево;Продуктовая розница;Специализированная пищевая розница;специализированные продуктовые магазины Ясенево Москва
