district;group;category;query
Академический;Религиозные учреждения;Православный храм;храм Академический район Москва
Академический;Религиозные учреждения;Православный храм;церковь Академический район Москва
Академический;Религиозные учреждения;Монастырь;подворье монастыря Академический район Москва
Академический;Религиозные учреждения;Мечеть;мечеть Академический район Москва
Академический;Религиозные учреждения;Мечеть;молельная комната мусульман Академический район Москва
Академический;Религиозные учреждения;Синагога;синагога еврейская община Академический район Москва
Академический;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Академический район Москва
Академический;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Академический район Москва
Академический;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь Академический район Москва
Академический;Религиозные учреждения;Религиозная организация;армянская апостольская церковь Академический район Москва
Академический;Религиозные учреждения;Религиозная организация;старообрядческая церковь Академический район Москва
Академический;Религиозные учреждения;Буддийский храм;буддийский центр Академический район Москва
Академический;Религиозные учреждения;Духовное учебное заведение;воскресная школа Академический район Москва
Академический;Религиозные учреждения;Религиозная организация;религиозная община Академический район Москва
Гагаринский;Религиозные учреждения;Православный храм;храм Гагаринский район Москва
Гагаринский;Религиозные учреждения;Православный храм;церковь Гагаринский район Москва
Гагаринский;Религиозные учреждения;Монастырь;подворье монастыря Гагаринский район Москва
Гагаринский;Религиозные учреждения;Мечеть;мечеть Гагаринский район Москва
Гагаринский;Религиозные учреждения;Мечеть;молельная комната мусульман Гагаринский район Москва
Гагаринский;Религиозные учреждения;Синагога;синагога еврейская община Гагаринский район Москва
Гагаринский;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Гагаринский район Москва
Гагаринский;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Гагаринский район Москва
Гагаринский;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь Гагаринский район Москва
Гагаринский;Религиозные учреждения;Религиозная организация;армянская апостольская церковь Гагаринский район Москва
Гагаринский;Религиозные учреждения;Религиозная организация;старообрядческая церковь Гагаринский район Москва
Гагаринский;Религиозные учреждения;Буддийский храм;буддийский центр Гагаринский район Москва
Гагаринский;Религиозные учреждения;Духовное учебное заведение;воскресная школа Гагаринский район Москва
Гагаринский;Религиозные учреждения;Религиозная организация;религиозная община Гагаринский район Москва
Зюзино;Религиозные учреждения;Православный храм;храм район Зюзино Москва
Зюзино;Религиозные учреждения;Православный храм;церковь район Зюзино Москва
Зюзино;Религиозные учреждения;Монастырь;подворье монастыря район Зюзино Москва
Зюзино;Религиозные учреждения;Мечеть;мечеть район Зюзино Москва
Зюзино;Религиозные учреждения;Мечеть;молельная комната мусульман район Зюзино Москва
Зюзино;Религиозные учреждения;Синагога;синагога еврейская община район Зюзино Москва
Зюзино;Религиозные учреждения;Католический / протестантский храм;евангельская церковь район Зюзино Москва
Зюзино;Религиозные учреждения;Католический / протестантский храм;баптистская церковь район Зюзино Москва
Зюзино;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь район Зюзино Москва
Зюзино;Религиозные учреждения;Религиозная организация;армянская апостольская церковь район Зюзино Москва
Зюзино;Религиозные учреждения;Религиозная организация;старообрядческая церковь район Зюзино Москва
Зюзино;Религиозные учреждения;Буддийский храм;буддийский центр район Зюзино Москва
Зюзино;Религиозные учреждения;Духовное учебное заведение;воскресная школа район Зюзино Москва
Зюзино;Религиозные учреждения;Религиозная организация;религиозная община район Зюзино Москва
Коньково;Религиозные учреждения;Православный храм;храм район Коньково Москва
Коньково;Религиозные учреждения;Православный храм;церковь район Коньково Москва
Коньково;Религиозные учреждения;Монастырь;подворье монастыря район Коньково Москва
Коньково;Религиозные учреждения;Мечеть;мечеть район Коньково Москва
Коньково;Религиозные учреждения;Мечеть;молельная комната мусульман район Коньково Москва
Коньково;Религиозные учреждения;Синагога;синагога еврейская община район Коньково Москва
Коньково;Религиозные учреждения;Католический / протестантский храм;евангельская церковь район Коньково Москва
Коньково;Религиозные учреждения;Католический / протестантский храм;баптистская церковь район Коньково Москва
Коньково;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь район Коньково Москва
Коньково;Религиозные учреждения;Религиозная организация;армянская апостольская церковь район Коньково Москва
Коньково;Религиозные учреждения;Религиозная организация;старообрядческая церковь район Коньково Москва
Коньково;Религиозные учреждения;Буддийский храм;буддийский центр район Коньково Москва
Коньково;Религиозные учреждения;Духовное учебное заведение;воскресная школа район Коньково Москва
Коньково;Религиозные учреждения;Религиозная организация;религиозная община район Коньково Москва
Котловка;Религиозные учреждения;Православный храм;храм район Котловка Москва
Котловка;Религиозные учреждения;Православный храм;церковь район Котловка Москва
Котловка;Религиозные учреждения;Монастырь;подворье монастыря район Котловка Москва
Котловка;Религиозные учреждения;Мечеть;мечеть район Котловка Москва
Котловка;Религиозные учреждения;Мечеть;молельная комната мусульман район Котловка Москва
Котловка;Религиозные учреждения;Синагога;синагога еврейская община район Котловка Москва
Котловка;Религиозные учреждения;Католический / протестантский храм;евангельская церковь район Котловка Москва
Котловка;Религиозные учреждения;Католический / протестантский храм;баптистская церковь район Котловка Москва
Котловка;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь район Котловка Москва
Котловка;Религиозные учреждения;Религиозная организация;армянская апостольская церковь район Котловка Москва
Котловка;Религиозные учреждения;Религиозная организация;старообрядческая церковь район Котловка Москва
Котловка;Религиозные учреждения;Буддийский храм;буддийский центр район Котловка Москва
Котловка;Религиозные учреждения;Духовное учебное заведение;воскресная школа район Котловка Москва
Котловка;Религиозные учреждения;Религиозная организация;религиозная община район Котловка Москва
Ломоносовский;Религиозные учреждения;Православный храм;храм Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Православный храм;церковь Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Монастырь;подворье монастыря Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Мечеть;мечеть Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Мечеть;молельная комната мусульман Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Синагога;синагога еврейская община Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Религиозная организация;армянская апостольская церковь Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Религиозная организация;старообрядческая церковь Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Буддийский храм;буддийский центр Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Духовное учебное заведение;воскресная школа Ломоносовский район Москва
Ломоносовский;Религиозные учреждения;Религиозная организация;религиозная община Ломоносовский район Москва
Обручевский;Религиозные учреждения;Православный храм;храм Обручевский район Москва
Обручевский;Религиозные учреждения;Православный храм;церковь Обручевский район Москва
Обручевский;Религиозные учреждения;Монастырь;подворье монастыря Обручевский район Москва
Обручевский;Религиозные учреждения;Мечеть;мечеть Обручевский район Москва
Обручевский;Религиозные учреждения;Мечеть;молельная комната мусульман Обручевский район Москва
Обручевский;Религиозные учреждения;Синагога;синагога еврейская община Обручевский район Москва
Обручевский;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Обручевский район Москва
Обручевский;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Обручевский район Москва
Обручевский;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь Обручевский район Москва
Обручевский;Религиозные учреждения;Религиозная организация;армянская апостольская церковь Обручевский район Москва
Обручевский;Религиозные учреждения;Религиозная организация;старообрядческая церковь Обручевский район Москва
Обручевский;Религиозные учреждения;Буддийский храм;буддийский центр Обручевский район Москва
Обручевский;Религиозные учреждения;Духовное учебное заведение;воскресная школа Обручевский район Москва
Обручевский;Религиозные учреждения;Религиозная организация;религиозная община Обручевский район Москва
Северное Бутово;Религиозные учреждения;Православный храм;храм Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Православный храм;церковь Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Монастырь;подворье монастыря Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Мечеть;мечеть Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Мечеть;молельная комната мусульман Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Синагога;синагога еврейская община Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Религиозная организация;армянская апостольская церковь Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Религиозная организация;старообрядческая церковь Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Буддийский храм;буддийский центр Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Духовное учебное заведение;воскресная школа Северное Бутово Москва
Северное Бутово;Религиозные учреждения;Религиозная организация;религиозная община Северное Бутово Москва
Тёплый Стан;Религиозные учреждения;Православный храм;храм Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Православный храм;церковь Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Монастырь;подворье монастыря Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Мечеть;мечеть Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Мечеть;молельная комната мусульман Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Синагога;синагога еврейская община Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Религиозная организация;армянская апостольская церковь Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Религиозная организация;старообрядческая церковь Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Буддийский храм;буддийский центр Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Духовное учебное заведение;воскресная школа Тёплый Стан Москва
Тёплый Стан;Религиозные учреждения;Религиозная организация;религиозная община Тёплый Стан Москва
Черёмушки;Религиозные учреждения;Православный храм;храм Черёмушки Москва
Черёмушки;Религиозные учреждения;Православный храм;церковь Черёмушки Москва
Черёмушки;Религиозные учреждения;Монастырь;подворье монастыря Черёмушки Москва
Черёмушки;Религиозные учреждения;Мечеть;мечеть Черёмушки Москва
Черёмушки;Религиозные учреждения;Мечеть;молельная комната мусульман Черёмушки Москва
Черёмушки;Религиозные учреждения;Синагога;синагога еврейская община Черёмушки Москва
Черёмушки;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Черёмушки Москва
Черёмушки;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Черёмушки Москва
Черёмушки;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь Черёмушки Москва
Черёмушки;Религиозные учреждения;Религиозная организация;армянская апостольская церковь Черёмушки Москва
Черёмушки;Религиозные учреждения;Религиозная организация;старообрядческая церковь Черёмушки Москва
Черёмушки;Религиозные учреждения;Буддийский храм;буддийский центр Черёмушки Москва
Черёмушки;Религиозные учреждения;Духовное учебное заведение;воскресная школа Черёмушки Москва
Черёмушки;Религиозные учреждения;Религиозная организация;религиозная община Черёмушки Москва
Южное Бутово;Религиозные учреждения;Православный храм;храм Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Православный храм;церковь Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Монастырь;подворье монастыря Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Мечеть;мечеть Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Мечеть;молельная комната мусульман Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Синагога;синагога еврейская община Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Католический / протестантский храм;католический храм лютеранская церковь Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Религиозная организация;армянская апостольская церковь Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Религиозная организация;старообрядческая церковь Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Буддийский храм;буддийский центр Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Духовное учебное заведение;воскресная школа Южное Бутово Москва
Южное Бутово;Религиозные учреждения;Религиозная организация;религиозная община Южное Бутово Москва
Ясенево;Религиозные учреждения;Православный храм;храм Ясенево Москва
Ясенево;Религиозные учреждения;Православный храм;церковь Ясенево Москва
Ясенево;Религиозные учреждения;Монастырь;подворье монастыря Ясенево Москва
Ясенево;Религиозные учреждения;Мечеть;мечеть Ясенево Москва
Ясенево;Религиозные учреждения;Мечеть;молельная комната мусульман Ясенево Москва
Ясенево;Религиозные учреждения;Синагога;синагога еврейская община Ясенево Москва
Ясенево;Религиозные учреждения;Католический / протестантский храм;евангельская церковь Ясенево Москва
Ясенево;Религиозные учреждения;Католический / протестантский храм;баптистская церковь Ясенево Москва
